graph_size (n),density,edge_count,algorithm,trial,max_flow_result,solve_time,setup_time,total_time
20,1,342,cplex,4,176.0,0.0011015000000043074,0.01313549999940733,0.014236999999411637
20,1,342,ford-fulkerson,4,176,0.0011954000001423992,0.00011249999988649506,0.0013079000000288943
20,1,342,Edmonds-Karp,4,176,0.00028869999914604705,0.00011089999861724209,0.00039959999776328914
20,1,342,cplex,5,188.0,0.0010868000008485978,0.01313769999978831,0.014224500000636908
20,1,342,ford-fulkerson,5,188,0.001480200000514742,0.0001109000004362315,0.0015911000009509735
20,1,342,Edmonds-Karp,5,188,0.0003550000001268927,0.00011550000090210233,0.00047050000102899503
50,0.1,245,cplex,1,62.0,0.0010605999996187165,0.012654400001338217,0.013715000000956934
50,0.1,245,ford-fulkerson,1,62,0.001901099998576683,0.00010599999950500205,0.002007099998081685
50,0.1,245,Edmonds-Karp,1,62,0.00031849999868427403,8.770000022195745e-05,0.0004061999989062315
50,0.1,245,cplex,2,58.0,0.0010308000000804896,0.01253069999984291,0.013561499999923399
50,0.1,245,ford-fulkerson,2,58,0.001122199999372242,0.00011009999980160501,0.001232299999173847
50,0.1,245,Edmonds-Karp,2,58,0.00038049999966460746,8.689999958733097e-05,0.0004673999992519384
50,0.1,245,cplex,3,48.0,0.0011532000007719034,0.012741499998810468,0.013894699999582372
50,0.1,245,ford-fulkerson,3,48,0.0012423999996826751,0.00010709999878599774,0.0013494999984686729
50,0.1,245,Edmonds-Karp,3,48,0.00017389999993611127,8.779999916441739e-05,0.00026169999910052866
50,0.1,245,cplex,4,8.0,0.0010297999997419538,0.014431099998546415,0.015460899998288369
50,0.1,245,ford-fulkerson,4,8,0.00029580000045825727,0.0001036000012391014,0.0003994000016973587
50,0.1,245,Edmonds-Karp,4,8,7.60000002628658e-05,8.549999984097667e-05,0.00016150000010384247
50,0.1,245,cplex,5,33.0,0.0010860000002139714,0.01240210000105435,0.013488100001268322
50,0.1,245,ford-fulkerson,5,33,0.0008933999997680075,0.0001033000007737428,0.0009967000005417503
50,0.1,245,Edmonds-Karp,5,33,0.00016399999913119245,8.709999929124024e-05,0.0002510999984224327
50,0.3,735,cplex,1,136.0,0.0019146999984513968,0.022853099999338156,0.024767799997789552
50,0.3,735,ford-fulkerson,1,136,0.004756899999847519,0.0002930999999080086,0.005049999999755528
50,0.3,735,Edmonds-Karp,1,136,0.0011851999988721218,0.0002604000001156237,0.0014455999989877455
50,0.3,735,cplex,2,161.0,0.0019105000010313233,0.023096999999324908,0.02500750000035623
50,0.3,735,ford-fulkerson,2,161,0.005268999999316293,0.00028079999901819974,0.0055497999983344926
50,0.3,735,Edmonds-Karp,2,161,0.0011162000009790063,0.00026230000003124587,0.0013785000010102522
50,0.3,735,cplex,3,157.0,0.002003100000365521,0.02484560000084457,0.02684870000121009
50,0.3,735,ford-fulkerson,3,157,0.004657299999962561,0.0002884999994421378,0.004945799999404699
50,0.3,735,Edmonds-Karp,3,157,0.001064300000507501,0.00025009999990288634,0.0013144000004103873
50,0.3,735,cplex,4,176.0,0.002065700000457582,0.02305510000041977,0.025120800000877352
50,0.3,735,ford-fulkerson,4,176,0.005403600000136066,0.00028510000083770137,0.005688700000973768
50,0.3,735,Edmonds-Karp,4,176,0.0011341999997966923,0.0002465999987180112,0.0013807999985147035
50,0.3,735,cplex,5,117.0,0.0019302000000607222,0.023041200000079698,0.02497140000014042
50,0.3,735,ford-fulkerson,5,117,0.0035693000008905074,0.00029010000071139075,0.003859400001601898
50,0.3,735,Edmonds-Karp,5,117,0.0007599000000482192,0.0002623999989737058,0.001022299999021925
50,0.5,1225,cplex,1,215.0,0.0027075999987573596,0.03355410000040138,0.036261699999158736
50,0.5,1225,ford-fulkerson,1,215,0.006979699999646982,0.00045310000132303685,0.007432800000970019
50,0.5,1225,Edmonds-Karp,1,215,0.0014531000015267637,0.0004059000002598623,0.001859000001786626
50,0.5,1225,cplex,2,282.0,0.002832699999999022,0.035231500000008964,0.038064200000007986
50,0.5,1225,ford-fulkerson,2,282,0.009920399999828078,0.0004436999988683965,0.010364099998696474
50,0.5,1225,Edmonds-Karp,2,282,0.001478500000303029,0.00041419999979552813,0.0018927000000985572
50,0.5,1225,cplex,3,263.0,0.0028265000000828877,0.03369389999897976,0.03652039999906265
50,0.5,1225,ford-fulkerson,3,263,0.008139499999742839,0.00042500000017753337,0.008564499999920372
50,0.5,1225,Edmonds-Karp,3,263,0.0012483999998949002,0.00038359999962267466,0.001631999999517575
50,0.5,1225,cplex,4,266.0,0.002917299998443923,0.0336420999992697,0.036559399997713626
50,0.5,1225,ford-fulkerson,4,266,0.008840100001179962,0.0004332999997131992,0.009273400000893162
50,0.5,1225,Edmonds-Karp,4,266,0.0013378999992710305,0.00043560000085562933,0.0017735000001266599
50,0.5,1225,cplex,5,170.0,0.0025265999993280275,0.03506310000011581,0.03758969999944384
50,0.5,1225,ford-fulkerson,5,170,0.00559629999952449,0.00042500000017753337,0.006021299999702023
50,0.5,1225,Edmonds-Karp,5,170,0.0012403000000631437,0.00039119999928516336,0.001631499999348307
50,0.7,1715,cplex,1,333.0,0.003682700000354089,0.043862700000318,0.04754540000067209
50,0.7,1715,ford-fulkerson,1,333,0.01109319999886793,0.0005634999997710111,0.011656699998638942
50,0.7,1715,Edmonds-Karp,1,333,0.0023027999995974824,0.0005774000001110835,0.002880199999708566
50,0.7,1715,cplex,2,360.0,0.004070999999385094,0.044217499998921994,0.04828849999830709
50,0.7,1715,ford-fulkerson,2,360,0.011875099999087979,0.0006135999992693542,0.012488699998357333
50,0.7,1715,Edmonds-Karp,2,360,0.002502400000594207,0.0005944000004092231,0.0030968000010034302
50,0.7,1715,cplex,3,377.0,0.00382030000037048,0.04597939999985101,0.04979970000022149
50,0.7,1715,ford-fulkerson,3,377,0.012175899999419926,0.0005609999989246717,0.012736899998344597
50,0.7,1715,Edmonds-Karp,3,377,0.0026895999999396736,0.0005715000006603077,0.0032611000005999813
50,0.7,1715,cplex,4,361.0,0.0036457999995036516,0.044333699999697274,0.047979499999200925
50,0.7,1715,ford-fulkerson,4,361,0.011363600000549923,0.0005609999989246717,0.011924599999474594
50,0.7,1715,Edmonds-Karp,4,361,0.002443499999571941,0.000565999998798361,0.003009499998370302
50,0.7,1715,cplex,5,393.0,0.0035078999990219017,0.043750400000135414,0.047258299999157316
50,0.7,1715,ford-fulkerson,5,393,0.015857899999900837,0.0005904999998165295,0.016448399999717367
50,0.7,1715,Edmonds-Karp,5,393,0.002418400001261034,0.0005648000005749054,0.0029832000018359395
50,0.9,2205,cplex,1,533.0,0.004364500000519911,0.0554162999997061,0.05978080000022601
50,0.9,2205,ford-fulkerson,1,533,0.017896299999847542,0.0007202000015240628,0.018616500001371605
50,0.9,2205,Edmonds-Karp,1,533,0.0027619000011327444,0.0007107000001269625,0.003472600001259707
50,0.9,2205,cplex,2,443.0,0.004387200000564917,0.05574470000101428,0.0601319000015792
50,0.9,2205,ford-fulkerson,2,443,0.015180899999904796,0.0006998000008024974,0.015880700000707293
50,0.9,2205,Edmonds-Karp,2,443,0.0024169000007532304,0.0007163999998738291,0.0031333000006270595
50,0.9,2205,cplex,3,444.0,0.004463199999008793,0.058162799999990966,0.06262599999899976
50,0.9,2205,ford-fulkerson,3,444,0.014215999999578344,0.0007253000003402121,0.014941299999918556
50,0.9,2205,Edmonds-Karp,3,444,0.0025545000007696217,0.0007095000000845175,0.003264000000854139
50,0.9,2205,cplex,4,428.0,0.004251199999998789,0.057740000000194414,0.0619912000001932
50,0.9,2205,ford-fulkerson,4,428,0.01486309999927471,0.0006876999996165978,0.015550799998891307
50,0.9,2205,Edmonds-Karp,4,428,0.0029564000014943304,0.0007052000000840053,0.0036616000015783357
50,0.9,2205,cplex,5,467.0,0.004644399999961024,0.07010009999976319,0.07474449999972421
50,0.9,2205,ford-fulkerson,5,467,0.016429400000561145,0.0007346000002144137,0.01716400000077556
50,0.9,2205,Edmonds-Karp,5,467,0.0027721999995264923,0.0007253999992826721,0.0034975999988091644
50,1,2352,cplex,1,542.0,0.004621400001269649,0.05817399999978079,0.06279540000105044
50,1,2352,ford-fulkerson,1,542,0.016344600000593346,0.0007275999996636529,0.017072200000257
50,1,2352,Edmonds-Karp,1,542,0.0031620999998267507,0.0007764999991195509,0.003938599998946302
50,1,2352,cplex,2,507.0,0.004932300000291434,0.06926039999962086,0.07419269999991229
50,1,2352,ford-fulkerson,2,507,0.01801309999973455,0.000755600000047707,0.018768699999782257
50,1,2352,Edmonds-Karp,2,507,0.003441299999394687,0.0007547000004706206,0.0041959999998653075
50,1,2352,cplex,3,466.0,0.004594300000462681,0.05774019999989832,0.062334500000361004
50,1,2352,ford-fulkerson,3,466,0.015329199999541743,0.0007241000002977671,0.01605329999983951
50,1,2352,Edmonds-Karp,3,466,0.0030292999999801395,0.0008081000014499296,0.003837400001430069
50,1,2352,cplex,4,516.0,0.0046701999999640975,0.05721050000101968,0.06188070000098378
50,1,2352,ford-fulkerson,4,516,0.016158200000063516,0.000750700000935467,0.016908900000998983
50,1,2352,Edmonds-Karp,4,516,0.003074600001127692,0.0007646000012755394,0.0038392000024032313
50,1,2352,cplex,5,449.0,0.004673999999795342,0.060270100000707316,0.06494410000050266
50,1,2352,ford-fulkerson,5,449,0.014178699999320088,0.000717699998858734,0.014896399998178822
50,1,2352,Edmonds-Karp,5,449,0.002215700000306242,0.0007497000005969312,0.0029654000009031733
100,0.1,990,cplex,1,79.0,0.00254539999878034,0.03287840000120923,0.03542379999998957
100,0.1,990,ford-fulkerson,1,79,0.005107200000566081,0.00041419999979552813,0.005521400000361609
100,0.1,990,Edmonds-Karp,1,79,0.00130899999930989,0.00035539999953471124,0.0016643999988446012
100,0.1,990,cplex,2,83.0,0.0027036000010411954,0.033043700001144316,0.03574730000218551
